start_date,end_date,start_idx,end_idx,composite,pearson,dtw_distance,dtw_sim,pct_corr,rank
1996-02-23,2003-08-22,216,607,0.11142778764143882,0.1973172971225805,102459,0.06467143981793598,-0.022583510760529155,62
1993-09-10,2003-03-07,192,583,0.1110785221816531,0.17252962038531008,91887,0.09554340859503872,-0.061638805008709274,63
1996-01-26,2003-07-25,212,603,0.10848630549901078,0.18862438000978013,101439,0.06744381284174206,-0.01864488486490674,64
1993-10-08,2003-04-04,196,587,0.10641820239248534,0.16487176838171222,92661,0.09207401891632813,-0.037910656171659465,65
1996-12-27,2004-06-25,260,651,0.1051217799291574,0.18692132457331054,112843,0.040312108408225085,0.034489729641444485,66
1997-01-24,2004-07-23,264,655,0.09363347230938313,0.1599006342424028,113342,0.039147770237424835,0.03988233658601582,67
1997-02-21,2004-08-20,268,659,0.08907234029801728,0.1274551456816436,113613,0.0383743902881305,0.09143244070215995,68
1997-03-21,2004-09-17,272,663,0.06366494257506358,0.09183226073046993,113960,0.03739889252907782,0.04625406430587439,69
1997-04-18,2004-10-15,276,667,0.03608054187099449,0.052070663944607014,114448,0.03613926598834667,-0.07497480211750777,70
1997-05-16,2004-11-12,280,671,0.02978490131047172,0.01968748679384778,115018,0.03482975606332972,0.043675588155374076,71
1997-08-08,2005-02-04,292,683,0.020867861668550175,-0.0825152820686625,116352,0.03212688995480177,0.04811725092184778,72
1997-10-31,2005-04-29,304,695,0.019122714502453834,-0.20147323173690568,116954,0.030871408289904305,0.04158860800493665,73
1998-03-20,2005-09-16,324,715,0.01772063195078679,-0.3556757731691912,118945,0.027692537130842444,0.04014121977495967,74
1998-02-20,2005-08-19,320,711,0.015787401097909916,-0.32396108459185086,118617,0.028144225232919217,0.029684611331940957,75
1997-06-13,2004-12-10,284,675,0.011798213686500704,-0.014370226697223692,115574,0.033709181961430586,-0.08632918499409216,76
1997-07-11,2005-01-07,288,679,0.011470777077887743,-0.04730406231016448,116035,0.03277364879396498,-0.05077551129877819,77
1998-06-12,2005-12-09,336,727,0.011067776227725389,-0.4291598584998797,119820,0.026608087994661397,0.008774727147969499,78
1997-09-05,2005-03-04,296,687,0.011038631313710742,-0.1253605883556117,116648,0.03153894661060212,-0.04734844936171797,79
1997-10-03,2005-04-01,300,691,0.01090487283565088,-0.1644119210464348,116824,0.031156779530431087,-0.02539005031474543,80
1997-11-28,2005-05-27,308,699,0.010607743589982057,-0.23853308729273484,117262,0.030307838828520166,-0.0874620122396318,81
1997-12-26,2005-06-24,312,703,0.010361589256326638,-0.26852614335550956,117679,0.029604540732361826,-0.009445696467355129,82
1998-01-23,2005-07-22,316,707,0.01007352780713156,-0.2939378257153904,118188,0.028781508020375886,-0.03972103946641151,83
1998-04-17,2005-10-14,328,719,0.009577742954890344,-0.3868247717343618,119193,0.02736497987111527,-0.0013457909155762103,84
1998-05-15,2005-11-11,332,723,0.00947671761568174,-0.40923523666426526,119426,0.027076336044804975,-0.024258500624887942,85
